MONTERO (Call Me By Your Name),Lil Nas X
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber
Kiss Me More (feat. SZA),Doja Cat
Astronaut In The Ocean,Masked Wolf
Heartbreak Anniversary,Giveon
deja vu,Olivia Rodrigo
Save Your Tears,The Weeknd
Goosebumps - Remix,Travis Scott
Up,Cardi B
Leave The Door Open,Bruno Mars
RAPSTAR,Polo G
Hold On,Justin Bieber
Met Him Last Night (feat. Ariana Grande),Demi Lovato
Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5
Heat Waves,Glass Animals
telepatía,Kali Uchis
WITHOUT YOU,The Kid LAROI
My Head & My Heart,Ava Max
Otra Noche Sin Ti,J Balvin
The Business,Tiësto
GIRL LIKE ME,Black Eyed Peas
As I Am (feat. Khalid),Justin Bieber
Arcade,Duncan Laurence
Your Love (9PM),ATB
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Riton
On The Ground,ROSÉ
drivers license,Olivia Rodrigo
Shy Away,Twenty One Pilots
Fiel,Los Legendarios
Streets,Doja Cat
Good Days,SZA
Girls Like Us,Zoe Wees
You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),Taylor Swift
Follow You,Imagine Dragons
BED,Joel Corry
Good Without,Mimi Webb
Calling My Phone,Lil Tjay
Wasted Love (feat. Lagique),Ofenbach
34+35,Ariana Grande
Therefore I Am,Billie Eilish
What’s Next,Drake
Mood (feat. iann dior),24kGoldn
DÁKITI,Bad Bunny
you broke me first,Tate McRae
RAPSTAR,Polo G
On Me,Lil Baby
Back In Blood (feat. Lil Durk),Pooh Shiesty
Wants and Needs (feat. Lil Baby),Drake
Calling My Phone,Lil Tjay
Run It Up (feat. Offset & Moneybagg Yo),Lil Tjay
Time Today,Moneybagg Yo
What’s Next,Drake
Company (feat. Future),24kGoldn
Real As It Gets (feat. EST Gee),Lil Baby
ROLLIN N CONTROLLIN FREESTYLE,DUSTY LOCANE
Headshot (feat. Polo G & Fivio Foreign),Lil Tjay
Rule #1 (feat. Lil Yachty),DDG
Quicksand,Morray
Lemon Pepper Freestyle (feat. Rick Ross),Drake
4 Da Gang (with Roddy Ricch),42 Dugg
Richer (feat. Polo G),Rod Wave
Take It To Trial (feat. Yak Gotti),Young Stoner Life
Track Star,Mooski
Still Trappin' (with King Von),Lil Durk
Way Out (feat. Big Sean),Jack Harlow
Tombstone,Rod Wave
"SoIcyBoyz 2 (feat. Pooh Shiesty, Foogiano & Tay Keith)",Big Scarr
Street Runner,Rod Wave
JETSKI (feat. Lil Mosey & Lil Tecca),Internet Money
BIG PURR (Prrdd) (feat. Pooh Shiesty),Coi Leray
Finesse Out The Gang Way (feat. Lil Baby),Lil Durk
Errbody,Lil Baby
GNF (OKOKOK),Polo G
Masterpiece,DaBaby
White Lows Off Designer (feat. Lil Durk),Tee Grizzley
Whoopty,CJ
Show Me Up,Lil Tecca
No More Parties - Remix,Coi Leray
Case Closed,Young Dolph
Try Me,Lil Mosey
Hard For The Next (with Future),Moneybagg Yo
Bad Boy (with Young Thug),Juice WRLD
Throat Baby (Go Baby) (with DaBaby & City Girls) - Remix,BRS Kash
Batman,LPB Poody
Up,Cardi B
Buss It,Erica Banks
Whipski (feat. Lil Skies & Internet Money),$NOT
Toxic Punk,YoungBoy Never Broke Again
