break my heart,Dua Lipa,breakup,y
this love,maroon 5,breakup,y
since u been gone,kelly clarkson,breakup,y
love story,taylor swift,love,y
I love you always and forever,Donna Lewis,love,y
rapstar,polo g,life,y
astronaut in the ocean,Masked wolf,life,y
you make loving fun,fleetwood mac,love,n
Thinkin bout you,frank ocean,love,n
before he cheats,carrie underwood,breakup,n
cry me a river,justin timberlake,breakup,n
still d. r. e.,dr. dre,life,n
not another love song,ella mai,love,y
Sunshine Of Your Love,Cream,love,y
someone like you,adele,breakup,y
Somebody That I Used To Know,gotye,breakup,y
